,0
2016-01-01,626.0278202116288
2016-01-04,582.2460956324082
2016-01-05,593.7841544798647
2016-01-06,608.2145400083787
2016-01-07,606.4002232465864
2016-01-08,656.772958844331
2016-01-11,613.2594132678886
2016-01-12,464.66531266475226
2016-01-13,563.0463078410014
2016-01-14,578.9765546456159
2016-01-15,609.3712274942234
2016-01-18,621.7820230840119
2016-01-19,620.5258745489577
2016-01-20,571.9201013373558
2016-01-21,593.7841544798647
2016-01-22,608.2145400083787
2016-01-25,606.4002232465864
2016-01-26,656.772958844331
2016-01-27,613.2594132678886
2016-01-28,464.66531266475226
2016-01-29,563.0463078410014
2016-02-01,578.9765546456159
2016-02-02,609.3712274942234
2016-02-03,621.7820230840119
2016-02-04,620.5258745489577
2016-02-05,571.9201013373558
2016-02-08,593.7841544798647
2016-02-09,608.2145400083787
2016-02-10,606.4002232465864
2016-02-11,656.772958844331
2016-02-12,613.2594132678886
2016-02-15,464.66531266475226
2016-02-16,563.0463078410014
2016-02-17,578.9765546456159
2016-02-18,609.3712274942234
2016-02-19,621.7820230840119
2016-02-22,620.5258745489577
2016-02-23,571.9201013373558
2016-02-24,593.7841544798647
2016-02-25,608.2145400083787
2016-02-26,606.4002232465864
2016-02-29,656.772958844331
2016-03-01,613.2594132678886
2016-03-02,464.66531266475226
2016-03-03,563.0463078410014
2016-03-04,578.9765546456159
2016-03-07,609.3712274942234
2016-03-08,621.7820230840119
2016-03-09,620.5258745489577
2016-03-10,571.9201013373558
2016-03-11,593.7841544798647
2016-03-14,608.2145400083787
2016-03-15,606.4002232465864
2016-03-16,656.772958844331
2016-03-17,613.2594132678886
2016-03-18,464.66531266475226
2016-03-21,563.0463078410014
2016-03-22,578.9765546456159
2016-03-23,609.3712274942234
2016-03-24,621.7820230840119
2016-03-25,620.5258745489577
2016-03-28,571.9201013373558
2016-03-29,593.7841544798647
2016-03-30,608.2145400083787
2016-03-31,606.4002232465864
2016-04-01,656.772958844331
2016-04-04,613.2594132678886
2016-04-05,464.66531266475226
2016-04-06,563.0463078410014
2016-04-07,578.9765546456159
2016-04-08,609.3712274942234
2016-04-11,621.7820230840119
2016-04-12,620.5258745489577
2016-04-13,571.9201013373558
2016-04-14,593.7841544798647
2016-04-15,608.2145400083787
2016-04-18,606.4002232465864
2016-04-19,656.772958844331
2016-04-20,613.2594132678886
2016-04-21,464.66531266475226
2016-04-22,563.0463078410014
2016-04-25,578.9765546456159
2016-04-26,609.3712274942234
2016-04-27,621.7820230840119
2016-04-28,620.5258745489577
2016-04-29,571.9201013373558
2016-05-02,593.7841544798647
2016-05-03,608.2145400083787
2016-05-04,606.4002232465864
2016-05-05,656.772958844331
2016-05-06,613.2594132678886
2016-05-09,464.66531266475226
2016-05-10,563.0463078410014
2016-05-11,578.9765546456159
2016-05-12,609.3712274942234
2016-05-13,621.7820230840119
2016-05-16,620.5258745489577
2016-05-17,571.9201013373558
2016-05-18,593.7841544798647
2016-05-19,608.2145400083787
2016-05-20,606.4002232465864
2016-05-23,656.772958844331
2016-05-24,613.2594132678886
2016-05-25,464.66531266475226
2016-05-26,563.0463078410014
2016-05-27,578.9765546456159
