date,x0_BREAD/BAKERY
2013-01-01,0.0
2013-01-02,523.8819999694824
2013-01-03,321.69300079345703
2013-01-04,299.011999130249
2013-01-07,360.9309997558594
2013-01-08,299.29100036621094
2013-01-09,306.9290008544922
2013-01-10,231.36400032043457
2013-01-11,282.9290008544922
2013-01-14,335.7800006866455
2013-01-15,244.4090003967285
2013-01-16,334.9270000457764
2013-01-17,299.4680004119873
2013-01-18,324.0330009460449
2013-01-21,345.2250003814697
2013-01-22,289.6189994812012
2013-01-23,347.30299949646
2013-01-24,254.6219997406006
2013-01-25,295.8680000305176
2013-01-28,277.2199993133545
2013-01-29,296.2549991607666
2013-01-30,396.6100006103516
2013-01-31,259.3120002746582
2013-02-01,313.6569995880127
2013-02-04,293.2700004577637
2013-02-05,282.3360004425049
2013-02-06,297.63800048828125
2013-02-07,251.81999969482425
2013-02-08,308.51499938964844
2013-02-11,198.7140007019043
2013-02-12,255.87700080871585
2013-02-13,357.3570003509521
2013-02-14,260.3759994506836
2013-02-15,307.5820007324219
2013-02-18,349.3400001525879
2013-02-19,286.6520004272461
2013-02-20,305.8719997406006
2013-02-21,241.3589992523193
2013-02-22,265.507999420166
2013-02-25,314.04999923706055
2013-02-26,251.75200080871585
2013-02-27,270.5699996948242
2013-02-28,238.98800086975095
2013-03-01,346.5699996948242
2013-03-04,343.0690002441406
2013-03-05,305.2789993286133
2013-03-06,326.7159996032715
2013-03-07,286.01899909973145
2013-03-08,271.0520000457764
2013-03-11,273.6860008239746
2013-03-12,266.3169994354248
2013-03-13,333.011999130249
2013-03-14,281.67099952697754
2013-03-15,260.206000328064
2013-03-18,335.84900093078613
2013-03-19,297.70899963378906
2013-03-20,306.5060005187988
2013-03-21,244.1470003128052
2013-03-22,277.81800079345703
2013-03-25,304.3570003509521
2013-03-26,303.47800064086914
2013-03-27,357.5340003967285
2013-03-28,232.70000076293945
2013-03-29,197.6219997406006
2013-04-01,341.7989997863769
2013-04-02,272.01899909973145
2013-04-03,365.8490009307861
2013-04-04,292.5820007324219
2013-04-05,299.3950004577637
2013-04-08,321.8509998321533
2013-04-09,242.753999710083
2013-04-10,340.90099906921387
2013-04-11,251.66399955749512
2013-04-12,284.24099922180176
2013-04-15,330.9340000152588
2013-04-16,343.2700004577637
2013-04-17,279.1299991607666
2013-04-18,216.01700019836423
2013-04-19,279.7730007171631
2013-04-22,343.70199966430664
2013-04-23,314.32600021362305
2013-04-24,301.0610008239746
2013-04-25,236.70000076293945
2013-04-26,283.011999130249
2013-04-29,313.0590000152588
2013-04-30,230.2430000305176
2013-05-01,414.0950012207031
2013-05-02,268.7800006866455
2013-05-03,295.64299964904785
2013-05-06,354.5249996185303
2013-05-07,281.95499992370605
2013-05-08,284.7469997406006
2013-05-09,257.4750003814697
2013-05-10,276.4400005340576
2013-05-13,355.246000289917
2013-05-14,327.41100025177
2013-05-15,307.9309997558594
2013-05-16,262.73999977111816
2013-05-17,246.42099952697757
2013-05-20,338.6760005950928
2013-05-21,270.76099967956543
2013-05-22,278.39200019836426
2013-05-23,278.36599922180176
2013-05-24,245.88899993896484
2013-05-27,347.2859992980957
2013-05-28,332.0380001068115
2013-05-29,302.13500022888184
2013-05-30,259.83499908447266
2013-05-31,298.2220001220703
2013-06-03,365.9050006866455
2013-06-04,297.1679992675781
2013-06-05,348.2880001068115
2013-06-06,258.3430004119873
2013-06-07,371.99099922180176
