date,store_nbr,family,is_open,is_special,family_sales
2013-01-01,2,AUTOMOTIVE,0,1,0.0
2013-01-01,2,BABY CARE,0,1,0.0
2013-01-01,2,BEAUTY,0,1,0.0
2013-01-01,2,BEVERAGES,0,1,0.0
2013-01-01,2,BOOKS,0,1,0.0
2013-01-01,2,BREAD/BAKERY,0,1,0.0
2013-01-01,2,CELEBRATION,0,1,0.0
2013-01-01,2,CLEANING,0,1,0.0
2013-01-01,2,DAIRY,0,1,0.0
2013-01-01,2,DELI,0,1,0.0
2013-01-01,2,EGGS,0,1,0.0
2013-01-01,2,FROZEN FOODS,0,1,0.0
2013-01-01,2,GROCERY I,0,1,0.0
2013-01-01,2,GROCERY II,0,1,0.0
2013-01-01,2,HARDWARE,0,1,0.0
2013-01-01,2,HOME AND KITCHEN I,0,1,0.0
2013-01-01,2,HOME AND KITCHEN II,0,1,0.0
2013-01-01,2,HOME APPLIANCES,0,1,0.0
2013-01-01,2,HOME CARE,0,1,0.0
2013-01-01,2,LADIESWEAR,0,1,0.0
2013-01-01,2,LAWN AND GARDEN,0,1,0.0
2013-01-01,2,LINGERIE,0,1,0.0
2013-01-01,2,"LIQUOR,WINE,BEER",0,1,0.0
2013-01-01,2,MAGAZINES,0,1,0.0
2013-01-01,2,MEATS,0,1,0.0
2013-01-01,2,PERSONAL CARE,0,1,0.0
2013-01-01,2,PET SUPPLIES,0,1,0.0
2013-01-01,2,PLAYERS AND ELECTRONICS,0,1,0.0
2013-01-01,2,POULTRY,0,1,0.0
2013-01-01,2,PREPARED FOODS,0,1,0.0
2013-01-01,2,PRODUCE,0,1,0.0
2013-01-01,2,SCHOOL AND OFFICE SUPPLIES,0,1,0.0
2013-01-01,2,SEAFOOD,0,1,0.0
2013-01-02,2,AUTOMOTIVE,1,0,5.0
2013-01-02,2,BABY CARE,1,0,0.0
2013-01-02,2,BEAUTY,1,0,3.0
2013-01-02,2,BEVERAGES,1,0,1481.0
2013-01-02,2,BOOKS,1,0,0.0
2013-01-02,2,BREAD/BAKERY,1,0,523.8819999694824
2013-01-02,2,CELEBRATION,1,0,0.0
2013-01-02,2,CLEANING,1,0,1414.0
2013-01-02,2,DAIRY,1,0,627.0
2013-01-02,2,DELI,1,0,303.87499991059303
2013-01-02,2,EGGS,1,0,307.0
2013-01-02,2,FROZEN FOODS,1,0,98.0
2013-01-02,2,GROCERY I,1,0,3847.0
2013-01-02,2,GROCERY II,1,0,39.0
2013-01-02,2,HARDWARE,1,0,0.0
2013-01-02,2,HOME AND KITCHEN I,1,0,0.0
2013-01-02,2,HOME AND KITCHEN II,1,0,0.0
2013-01-02,2,HOME APPLIANCES,1,0,0.0
2013-01-02,2,HOME CARE,1,0,0.0
2013-01-02,2,LADIESWEAR,1,0,0.0
2013-01-02,2,LAWN AND GARDEN,1,0,1.0
2013-01-02,2,LINGERIE,1,0,12.0
2013-01-02,2,"LIQUOR,WINE,BEER",1,0,26.0
2013-01-02,2,MAGAZINES,1,0,0.0
2013-01-02,2,MEATS,1,0,630.4879952073097
2013-01-02,2,PERSONAL CARE,1,0,333.0
2013-01-02,2,PET SUPPLIES,1,0,0.0
2013-01-02,2,PLAYERS AND ELECTRONICS,1,0,0.0
2013-01-02,2,POULTRY,1,0,342.5059950351715
2013-01-02,2,PREPARED FOODS,1,0,127.35700035095215
2013-01-02,2,PRODUCE,1,0,0.0
2013-01-02,2,SCHOOL AND OFFICE SUPPLIES,1,0,0.0
2013-01-02,2,SEAFOOD,1,0,31.373000621795654
2013-01-03,2,AUTOMOTIVE,1,0,5.0
2013-01-03,2,BABY CARE,1,0,0.0
2013-01-03,2,BEAUTY,1,0,2.0
2013-01-03,2,BEVERAGES,1,0,1016.0
2013-01-03,2,BOOKS,1,0,0.0
2013-01-03,2,BREAD/BAKERY,1,0,321.69300079345703
2013-01-03,2,CELEBRATION,1,0,0.0
2013-01-03,2,CLEANING,1,0,1263.0
2013-01-03,2,DAIRY,1,0,446.0
2013-01-03,2,DELI,1,0,177.7989997267723
2013-01-03,2,EGGS,1,0,186.0
2013-01-03,2,FROZEN FOODS,1,0,49.0
2013-01-03,2,GROCERY I,1,0,2633.0
2013-01-03,2,GROCERY II,1,0,23.0
2013-01-03,2,HARDWARE,1,0,0.0
2013-01-03,2,HOME AND KITCHEN I,1,0,0.0
2013-01-03,2,HOME AND KITCHEN II,1,0,0.0
2013-01-03,2,HOME APPLIANCES,1,0,0.0
2013-01-03,2,HOME CARE,1,0,0.0
2013-01-03,2,LADIESWEAR,1,0,0.0
2013-01-03,2,LAWN AND GARDEN,1,0,1.0
2013-01-03,2,LINGERIE,1,0,12.0
2013-01-03,2,"LIQUOR,WINE,BEER",1,0,21.0
2013-01-03,2,MAGAZINES,1,0,0.0
2013-01-03,2,MEATS,1,0,597.7450003027916
2013-01-03,2,PERSONAL CARE,1,0,236.0
2013-01-03,2,PET SUPPLIES,1,0,0.0
2013-01-03,2,PLAYERS AND ELECTRONICS,1,0,0.0
2013-01-03,2,POULTRY,1,0,317.65200209617615
2013-01-03,2,PREPARED FOODS,1,0,92.04300022125244
2013-01-03,2,PRODUCE,1,0,0.0
2013-01-03,2,SCHOOL AND OFFICE SUPPLIES,1,0,0.0
2013-01-03,2,SEAFOOD,1,0,34.34299945831299
2013-01-04,2,AUTOMOTIVE,1,0,2.0
2013-01-04,2,BABY CARE,1,0,0.0
2013-01-04,2,BEAUTY,1,0,3.0
2013-01-04,2,BEVERAGES,1,0,1144.0
2013-01-04,2,BOOKS,1,0,0.0
2013-01-04,2,BREAD/BAKERY,1,0,299.011999130249
2013-01-04,2,CELEBRATION,1,0,0.0
2013-01-04,2,CLEANING,1,0,949.0
2013-01-04,2,DAIRY,1,0,467.0
2013-01-04,2,DELI,1,0,231.3739999383688
