date,store_nbr,family,is_open,is_special,family_sales
2013-01-01,1,AUTOMOTIVE,0,1,0.0
2013-01-01,1,BEAUTY,0,1,0.0
2013-01-01,1,BEVERAGES,0,1,0.0
2013-01-01,1,BOOKS,0,1,0.0
2013-01-01,1,BREAD/BAKERY,0,1,0.0
2013-01-01,1,CELEBRATION,0,1,0.0
2013-01-01,1,CLEANING,0,1,0.0
2013-01-01,1,DAIRY,0,1,0.0
2013-01-01,1,DELI,0,1,0.0
2013-01-01,1,EGGS,0,1,0.0
2013-01-01,1,FROZEN FOODS,0,1,0.0
2013-01-01,1,GROCERY I,0,1,0.0
2013-01-01,1,GROCERY II,0,1,0.0
2013-01-01,1,HARDWARE,0,1,0.0
2013-01-01,1,HOME AND KITCHEN I,0,1,0.0
2013-01-01,1,HOME AND KITCHEN II,0,1,0.0
2013-01-01,1,HOME APPLIANCES,0,1,0.0
2013-01-01,1,HOME CARE,0,1,0.0
2013-01-01,1,LADIESWEAR,0,1,0.0
2013-01-01,1,LAWN AND GARDEN,0,1,0.0
2013-01-01,1,LINGERIE,0,1,0.0
2013-01-01,1,"LIQUOR,WINE,BEER",0,1,0.0
2013-01-01,1,MAGAZINES,0,1,0.0
2013-01-01,1,MEATS,0,1,0.0
2013-01-01,1,PERSONAL CARE,0,1,0.0
2013-01-01,1,PET SUPPLIES,0,1,0.0
2013-01-01,1,PLAYERS AND ELECTRONICS,0,1,0.0
2013-01-01,1,POULTRY,0,1,0.0
2013-01-01,1,PREPARED FOODS,0,1,0.0
2013-01-01,1,PRODUCE,0,1,0.0
2013-01-01,1,SCHOOL AND OFFICE SUPPLIES,0,1,0.0
2013-01-01,1,SEAFOOD,0,1,0.0
2013-01-02,1,AUTOMOTIVE,1,0,2.0
2013-01-02,1,BEAUTY,1,0,2.0
2013-01-02,1,BEVERAGES,1,0,1085.0
2013-01-02,1,BOOKS,1,0,0.0
2013-01-02,1,BREAD/BAKERY,1,0,469.6520004272461
2013-01-02,1,CELEBRATION,1,0,0.0
2013-01-02,1,CLEANING,1,0,1039.0
2013-01-02,1,DAIRY,1,0,570.0
2013-01-02,1,DELI,1,0,160.06900036334991
2013-01-02,1,EGGS,1,0,246.0
2013-01-02,1,FROZEN FOODS,1,0,131.0
2013-01-02,1,GROCERY I,1,0,2546.0
2013-01-02,1,GROCERY II,1,0,31.0
2013-01-02,1,HARDWARE,1,0,3.0
2013-01-02,1,HOME AND KITCHEN I,1,0,0.0
2013-01-02,1,HOME AND KITCHEN II,1,0,0.0
2013-01-02,1,HOME APPLIANCES,1,0,0.0
2013-01-02,1,HOME CARE,1,0,0.0
2013-01-02,1,LADIESWEAR,1,0,0.0
2013-01-02,1,LAWN AND GARDEN,1,0,10.0
2013-01-02,1,LINGERIE,1,0,12.0
2013-01-02,1,"LIQUOR,WINE,BEER",1,0,63.0
2013-01-02,1,MAGAZINES,1,0,0.0
2013-01-02,1,MEATS,1,0,360.74675089120865
2013-01-02,1,PERSONAL CARE,1,0,190.0
2013-01-02,1,PET SUPPLIES,1,0,0.0
2013-01-02,1,PLAYERS AND ELECTRONICS,1,0,0.0
2013-01-02,1,POULTRY,1,0,225.49375176429749
2013-01-02,1,PREPARED FOODS,1,0,47.0
2013-01-02,1,PRODUCE,1,0,0.0
